SCH_TIME,WH,EO,WM,AC,WP1,PV,TNP_load,Deficit/Surplus
00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
05:30:00,0.0,0.0,0.0,0.0,0.0,55.44057916666666,183.0,-127.55942083333335
06:00:00,0.0,0.0,0.0,0.0,0.0,110.88115833333332,183.0,-72.11884166666668
06:30:00,0.0,0.0,0.0,0.0,0.0,369.9305833333333,183.0,186.9305833333333
07:00:00,0.0,0.0,0.0,0.0,0.0,628.9800083333333,183.0,445.98000833333333
07:30:00,0.0,0.0,0.0,0.0,0.0,962.3504250000001,183.0,779.3504250000001
08:00:00,0.0,0.0,0.0,0.0,0.0,1295.7208416666667,183.0,1112.7208416666667
08:30:00,0.0,0.0,0.0,0.0,0.0,1659.7274,183.0,1476.7274
09:00:00,0.0,0.0,0.0,0.0,0.0,2023.7339583333332,183.0,1840.7339583333332
09:30:00,0.0,0.0,0.0,0.0,800.0,2301.324795833333,183.0,1318.3247958333332
10:00:00,0.0,0.0,1000.0,0.0,800.0,2578.9156333333335,183.0,595.9156333333335
10:30:00,0.0,0.0,1000.0,0.0,800.0,2814.072791666667,183.0,831.072791666667
11:00:00,1800.0,0.0,1000.0,0.0,0.0,3049.2299500000004,183.0,66.22995000000037
11:30:00,1800.0,0.0,0.0,1000.0,0.0,3051.5458916666666,183.0,68.54589166666665
12:00:00,0.0,0.0,0.0,1000.0,800.0,3053.861833333333,183.0,1070.861833333333
12:30:00,0.0,1800.0,0.0,1000.0,0.0,3064.3435499999996,183.0,81.3435499999996
13:00:00,0.0,0.0,0.0,1000.0,0.0,3074.8252666666667,183.0,1891.8252666666667
13:30:00,0.0,0.0,0.0,1000.0,0.0,3054.1961833333335,183.0,1871.1961833333335
14:00:00,0.0,0.0,0.0,1000.0,0.0,3033.5671,183.0,1850.5671000000002
14:30:00,0.0,0.0,0.0,0.0,0.0,2939.4288750000005,183.0,2756.4288750000005
15:00:00,0.0,0.0,0.0,0.0,0.0,2845.2906500000004,183.0,2662.2906500000004
15:30:00,0.0,0.0,0.0,0.0,0.0,2500.7068750000003,183.0,2317.7068750000003
16:00:00,0.0,0.0,0.0,0.0,0.0,2156.1231000000002,183.0,1973.1231000000002
16:30:00,0.0,0.0,0.0,0.0,0.0,1959.9943916666668,183.0,1776.9943916666668
17:00:00,0.0,0.0,0.0,0.0,0.0,1763.8656833333334,183.0,1580.8656833333334
17:30:00,0.0,0.0,0.0,0.0,0.0,1366.3516166666668,183.0,1183.3516166666668
18:00:00,0.0,0.0,0.0,0.0,0.0,968.8375500000001,183.0,785.8375500000001
18:30:00,0.0,0.0,0.0,0.0,0.0,685.9277916666667,183.0,502.92779166666674
19:00:00,0.0,0.0,0.0,0.0,0.0,403.01803333333334,183.0,220.01803333333334
19:30:00,0.0,0.0,0.0,0.0,0.0,232.18035833333334,183.0,49.180358333333345
20:00:00,0.0,0.0,0.0,0.0,0.0,61.34268333333333,183.0,-121.65731666666667
20:30:00,0.0,0.0,0.0,0.0,0.0,30.671341666666667,183.0,-152.32865833333332
21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,183.0,-183.0
21:30:00,0.0,0.0,0.0,0.0,0.0,-2.1599375,183.0,-185.1599375
22:00:00,0.0,0.0,0.0,0.0,0.0,-4.319875,183.0,-187.319875
22:30:00,0.0,0.0,0.0,0.0,0.0,-8.598458333333333,183.0,-191.59845833333333
23:00:00,0.0,0.0,0.0,0.0,0.0,-12.877041666666665,183.0,-195.87704166666666
23:30:00,0.0,0.0,0.0,0.0,0.0,-12.877041666666665,183.0,-195.87704166666666
